SKU	Product Name	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Currency	In Stock	Image URL	Image URL1	Image URL2	
CHCH1MSCPE1O_18	1 Million Scoville Concentrated Pepper Extract (16 oz)	Ingredients: Pepper Extract (May contain Soybean Oil). Manufacturered by Ashley Foods		Ashley Foods	Ashley Foods	129.95	CDN	Y	//cdn.shopify.com/s/assets/admin/no-image-large-339e69e359cdf02ea76337381df99fa2.gif			
CHCHFMGHS_17	"F" Milk. Got Hot Sauce!	 F Milk. Got Hot Sauce? (5 FL.OZ. / 148 ml): Real men say F' Milk. I'll get the Sh*t I need from my hot sauce. Just say "F" it, and get another bottle. It feels much better the next day. I say "F" it, coat your ass with sauce, cause it's the boss. Ingredients: Habanero Peppers, Vinegar, Onion Powder, Garlic Powder, and Salt. Brand: F Milk. Got Hot Sauce  Manufacturer: Original Juan		Original Juan	F Milk. Got Hot Sauce	8.95	CDN	N	//cdn.shopify.com/s/files/1/0188/0032/products/5825de1a5cde32351b9bac33448dd4e1_large.jpeg?v=1438640678			
CHCH7CM_20	7UP Citrus Marinade	 7UP Refreshing Citrus Marinade (14oz./396g)  Enjoy the light, refreshing taste of 7UP on the grill. The natural lemon and lime flavors of 7UP will add a refreshing citrus burst to every bite of your chicken, fish and vegetables. Ingredients: Water, high fructose corn syrup, distilled vinegar, lemon juice concentrate, lime juice concentrate, spices, modified corn starch, salt, vegetable oil (canola and/or soybean), fruit concentrate, dextrin, natural flavors, sodium benzoate (preservative), xanthan gum.				8.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/19e592b4978d157c66c5cda171824bdd_large.jpeg?v=1421185409			
CHCH1MSCPEHS_19	1 Million Scoville Concentrated Pepper Extract Hot Sauce	  1 Million Scoville Concentrated Pepper Extract Hot Sauce (5 FL.OZ. / 148 ml): 1 Million Scoville units of super intense heat in a 5oz bottle. Pure concentrated pepper extract. Warning, Food additive only. Warning, not a food item. Keep away from childern, skin irritant, this is not a sauce or a condiment. This product is guaranteed to be 1,000,000 scoville units +/- 5 percent by HPLC A.O.A.C. Capsaicin Analysis Method. Ingredients: Premium High Grade Certified Oleroresin Capsicum Brand: 1 Million Scoville Units Hot Sauce   Manufactured by Ashley Foods.		Ashley Foods.	Ashley Foods.	43.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/2d4d2b1e3d5a41f8741de70987d1a48b_large.jpeg?v=1427060211			
CHCHABS_22	A&W BBQ Sauce	 AW BBQ Sauce (18oz/510g)  Enjoy the smooth, creamy flavor of AW root beer on the grill. The taste of AW will add an unexpected, layered richness to your BBQ. Whether basting, marinating or dipping, you'll savor every bite. Ingredients: High fructose corn syrup, water, tomato paste, distilled vinegar, modified corn starch, molasses, salt, spices, fruit concentrate, dextrin, maltodextrin, smoke flavor, natural flavors, artificial flavors,caramel (color), sodium benzoate (preservative). Brand: AW Manufacturer: Vita Specialty Foods		Vita Specialty Foods	A&amp;W	8.95	CDN	N	//cdn.shopify.com/s/files/1/0188/0032/products/675d2e488bb91013628b5675338d0530_large.jpeg?v=1427060935			
CHCHALNHS_21	A Little Nukey Hot Sauce	  A Little Nukey Hot Sauce (5 FL.OZ. / 150 g): Explosive equals mucho chiles. Explosive heat. A little nukey goes a long way. Product of Costa Rica. Ingredients: Caribbean Red Habanero Peppers, Vinegar, Tomatoes, Onions, Spices, Cilantro, and Ascorbic Acid (Vitamin C) added for freshness.   Manufactured by Fireworks Fiery Food Merchants		Fireworks Fiery Food Merchants	Fireworks Fiery Food Merchants	7.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/e4fbaf47a289c6af587e297bed66ca5f_large.jpeg?v=1422628370			
CHCHAP_23	Achiote Paste	Achiote Paste (3.5 oz/ 100 g) Achiote is one of Mexicoâ€™s most popular ingredients because it gives food an amazing earthy flavor and a spectacular red hue. Smear over fish and grill or rub into pork before braising or roasting. Dilute with vinegar or olive oil to create a marinade for just about everything. Recipe on back! Ingredients: Annatto seed, water, salt, spices, garlic, acetic acid and sodium benzonate as a preservative (0.1%). Manufactured by Los Chileros		Los Chileros	Los Chileros	7.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/Achiote_Paste_large.jpg?v=1362523076			
CHCHARPMPS_24	African Rhino Peri-Peri Mild Pepper Sauce	African Rhino Peri-Peri Mild Pepper Sauce (6.75 FL.OZ. / 200 ml): A product of Kalahari Pepper Company. The exotic peri-peri is Africa's hottest chili pepper. Strains from Botswana and Mozambique are grown exclusively for the Kalahari Pepper Company so you too can experience the soul of Africa's great thirstland, the Kalahari desert. Shake well and use Rhino sauce on all meat, seafood, or poultry dishes. Ingredients: Roasted Tomatoes, Water, Onion, Cider Vinegar, Lemon Juice, Canola Oil, Peri-Peri Chili Peppers, Roasted Garlic, Sugar, Salt, and Spices.  Manufactured by Kalahari Pepper Company Awards: A 2000 Scovie Award winner		Kalahari Pepper Company	Kalahari Pepper Company	9.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/70b047fae13b7b3034d3ef615b63b6df_large.jpeg?v=1427061269			
CHCHARPPSXH_26	African Rhino Peri-Peri Pepper Sauce Xtra Hot	  African Rhino Peri-Peri Pepper Sauce Xtra Hot (6.75 FL.OZ. / 200 ml): A product of Kalahari Pepper Company. The exotic peri-peri is Africa's hottest chili pepper. Strains from Botswana and Mozambique are grown exclusively for the Kalahari Pepper Company so you too can experience the soul of Africa's great thirstland, the Kalahari desert. Shake well and use Rhino sauce on all meat, seafood, or poultry dishes. Ingredients: Roasted Tomatoes, Water, Onion, Cider Vinegar, Lemon Juice, Canola Oil, Peri-Peri Chili Peppers, Roasted Garlic, Sugar, Salt, and Spices.  Manufactured by Kalahari Pepper Company  Awards: A 2000 Scovie Award winner		Kalahari Pepper Company	Kalahari Pepper Company	9.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/e5c822182f9f04348311fee66d5b9347_large.jpeg?v=1427061964			
CHCHARPPSH_25	African Rhino Peri-Peri Pepper Sauce - Hot	African Rhino Peri-Peri Pepper Sauce - Hot (6.75 FL.OZ. / 200 ml): A product of Kalahari Pepper Company. The exotic peri-peri is Africa's hottest chili pepper. Strains from Botswana and Mozambique are grown exclusively for the Kalahari Pepper Company so you too can experience the soul of Africa's great thirstland, the Kalahari desert. Shake well and use Rhino sauce on all meat, seafood, or poultry dishes. Ingredients: Roasted Tomatoes, Water, Onion, Cider Vinegar, Lemon Juice, Canola Oil, Peri-Peri Chili Peppers, Roasted Garlic, Sugar, Salt, and Spices.  Manufactured by  Kalahari Pepper Company Awards: A 2000 Scovie Award winner		Kalahari Pepper Company	Kalahari Pepper Company	9.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/72b5e81875d3007dc0cfd3024b7c8aed_large.jpeg?v=1427061386			
