SKU	Product Name	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Currency	In Stock	Image URL	Image URL1	Image URL2	
CHCHATP_1	Amazon Triple Peppers	Amazon Triple Peppers - 3 Colorful Layers of Peppers in a Glass Jar (12.5 FL.OZ. / 377 ml): Columbus changed the culinary world when he discovered chili peppers in the Americas. In this bottle is a pungent taste of history because every species of chili originated in our Amazon Basin. Here is a colorful mix of great Columbian peppers in vinegar from the worlds hottest Orange Habanero Peppers , to the freshly aromatic and spiced Green and Red Amazon Peppers . This is the perfect gift for the kitchen or decoration. Our Vinegar is ideal for salads and our peppers chopped into pieces (hot.) are coveted by serious chefs. Ingredients: Peppers, Vinegar and Salt. Brand: Amazon Hot Sauces Manufactured by Ocean Winds Trading Co.		Ocean Winds Trading Co.	Amazon Hot Sauces	8.50	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/f54cb64fd9cfc5d32003cbc8ce0153fd_large.jpeg?v=1427062480			
CHCHARHS_2	Amazon Red Hot Sauce	Amazon Red Hot Sauce (5.6 FL.OZ. / 167 ml): Ideal for meats, seafood, poultry, soups, rice, and cocktail drinks. Ingredients: Red Ripe Amazon Peppers, Cane Vinegar, Xanthan Gum, and Sea Salt. Amazon Hot Sauce Manufactured by Ocean Winds Trading Co.		Ocean Winds Trading Co	Ocean Winds Trading Co	7.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/f172a99e1aab89d69242a4fa524daffc_large.jpeg?v=1427062435			
CHCHALPHS_3	Amberfyre Livingston Parish Hot Sauce	Livingston Parish is a century old recipe from the Lake Maurepas area of Louisiana, Not just spicy, but extremely flavorful. AmberFyre premium products are a collaboration between CaJohn and food critic Amber Button. Classic recipes with a twist. Ingredients: Vinegar, Chile Peppers, Sugar, Salt, Garlic, Lemon Extract, Xanthan Gum (a Natural Thickener). Brand: Amberfyre Manufacturer: CAJOHNS FIERY FOODS CO.		CAJOHNS FIERY FOODS CO.	Amberfyre	9.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/8813df0986a4b3b605878663f51d779f_large.jpeg?v=1431615080			
CHCHAAXHS_4	Anal Angst X-Hot Hot Sauce	Anal Angst X-Hot Hot Sauce (5.7 FL.OZ. / 169 ml): Professor Payne Indeass's Butt Blazin' Recipe #4. Ingredients: Habanero Peppers, Soy Sauce, Vinegar, Worcestershire, Garlic, and Xanthan Gum. Brand: Professor Payne Indeass's Hot Sauce Manufactured by Sauce Crafters		Sauce Crafters	Sauce Crafters	9.50	CDN	N	//cdn.shopify.com/s/files/1/0188/0032/products/8cadad2b5af13ba138d30964c703a8eb_large.jpeg?v=1427062575			
CHCHATXGHS_5	ANALize This XXX Garlic Hot Sauce	ANALize This XXX Garlic Hot Sauce (5 FL.OZ. / 147 ml): It doesn't take a genius, but a chile head, to figure out what's wrong with your sphincter. Come on. After chugging down a bottle of hot sauce, especially this one, what the heck do you expect your rectum to do? If you make it suffer, it's going to make you suffer. P.S. You won't have any ass hairs left for dingleberries to cling to. Ingredients: Habanero Peppers, Apple Cider Vinegar, Fresh Garlic in Water, Crushed Tomatoes, Key Lime Juice, Clam Juice, Worcestershire, Honey, Carrots, Fresh Onions, Ginger, Cilantro, Spices, and Tic Gum. Manufactured by Tahiti Joe's Hot Sauces		Tahiti Joe's Hot Sauces	Tahiti Joe's Hot Sauces	8.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/e4b6b9d2b7b220b33b60fcc5e570f156_large.jpeg?v=1427062645			
CHCHABBWSGC_6	Anchor Bar Buffalo Wing Sauce Gift Collection	ï»¿ Anchor Bar Wing Kit includes: Anchor Bar Medium Buffalo Wing Sauce, Anchor Bar Hotter Buffalo Wing Sauce, Anchor Bar Suicidal Buffalo Wing Sauce. Anchor Bar Medium Buffalo Wing Sauce - Frank  Teressa's original recipe, developed at the birthplace of Buffalo Chicken Wings, the Famous Anchor Bar in Buffalo, New York. These people actually invented the Buffalo Chicken Wing in 1964. A rich, smooth fully prepared sauce. No mixing, no mess, no guess work. Besides being great on chicken wings, try this sauce on beef, pork and seafood.This sauce is now in a plastic squeeze bottle! No Sugar Ingredients: Cayenne peppers, distilled vinegar, liquid margarine, salt, spices, garlic. Anchor Bar Hotter Recipe Buffalo Wing Sauce - Some like it Hotter! This Award Winning HOTTER recipe has been perfected at Frank  Teressa's Famous Anchor Bar, birthplace of Buffalo Chicken Wings. Twice as hot as the "Original", easy to use and clings to wings. A perfect balance of heat and flavor. This wing sauce comes with a recipe on the side of the bottle for flawless, mouth watering wings! No Fat, No Calorie Ingredients:Cayenne peppers, distilled vinegar, salt, garlic. Anchor Bar Suicidal Recipe Buffalo Wing Sauce - For the spicy, hot, hot sauce lovers, turn up the heat level to suicidal!!! This sauce will tempt and taunt taste buds into an ecstasy of combustible delight. No Sugar, No MSG, No Fat Ingredients: Cayenne peppers, distilled vinegar, salt, Red peppers, Black pepper, Worcestershire powder, herbs and spices, horseradish, natural flavors. From New York				27.50	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/e99aafc2b2a4c5218d833b597d4199c5_large.jpeg?v=1427062718			
CHCHABHBWS_7	Anchor Bar Honey BBQ Wing Sauce	Anchor Bar Honey BBQ Wing Sauce (12 FL.OZ / 354 ml): From the home of America's Var, in Buffalo New York comes a honey of a barbecue sauce. We're wild about this rich blend of natural ingredients with a sweet, full-bodied barbecue flavor. Incredible on wings, but fabulous on ribs and pork. Perfect as a marinade, basting or dipping sauce. Ingredients: Tomato Puree, Honey, Cayenne Pepper Sauce, Sugar, Vinegar, Molasses, Spices, Prepared Mustard, Natural Flavor, and Caramel Color. Manufactured by Anchor Bar		Anchor Bar	Anchor Bar	8.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/0c6fe6f25b986031b1218ce777bcc070_large.jpeg?v=1427062784			
CHCHABMBWS_8	Anchor Bar Medium Buffalo Wing Sauce	Anchor Bar Medium (Original) Buffalo Wing Sauce (12 FL.OZ. / 354 ml): The Original Buffalo Wing Sauce developed and perfected at Frank  Teressa's Famous Anchor Bar in Buffalo, New York; 2003 recipient of the James Beard Foundation American Classic Restaurant Award. Anchor Bar, the home of America's Buffalo Wings. Ingredients: Cayenne Peppers, Distilled Vinegar, Water, Liquid Margarine, Salt, Natural Gums, Spices, and Garlic. Manufactured by Anchor Bar		Anchor Bar	Anchor Bar	8.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/0e566923788973dcfd98f73fccf97a52_large.jpeg?v=1427063043			
CHCHABHWS_9	Anchor Bar Hotter Wing Sauce	Anchor Bar Hotter Wing Sauce (12 FL.OZ. / 354 ml): Some like it "Hotter." Consistent quality and flavor are the trademark of the famous Anchor Bar Buffalo Wings. The award winning hotter recipe has been perfected at Frank  Teressa's Famous Anchor Bar in Buffalo, New York; 2003 recipient of the James Beard Foundation American Classic Restaurant Award. Anchor Bar, the home of America's Buffalo Wings. Ingredients: Cayenne Peppers, Distilled Vinegar, Salt, and Garlic. Manufactured by Anchor Bar		Anchor Bar	Anchor Bar	8.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/cd83673f73fa514ebd0c50eeaa13f304_large.jpeg?v=1427062945			
CHCHABSWS_10	Anchor Bar Suicidal Wing Sauce	Anchor Bar Suicidal Wing Sauce (12 FL.OZ. / 354 ml): For the spicy, hot, hot sauce lovers, the Anchor Bar turns up the heat level to suicidal. This high quality sauce will tempt and taunt taste buds into an ecstasy of combustable delight. The award winning suicidal recipe has been perfected at Frank  Teressa's Famous Anchor Bar in Buffalo, New York; 2003 recipient of the James Beard Foundation American Classic Restaurant Award. Anchor Bar, the home of America's Buffalo Wings. Ingredients: Cayenne Peppers, Distilled Vinegar, Crushed Red Peppers, Black Pepper, Salt, and Garlic. Manufactured by Anchor Bar		Anchor Bar	Anchor Bar	8.95	CDN	Y	//cdn.shopify.com/s/files/1/0188/0032/products/b1ce7d52adf3256d2d23160c348b7d45_large.jpeg?v=1427063113			
