SKU	Product Name	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Currency	In Stock	Image URL	Image URL1	Image URL2	Category	
83796	Guitar Hero Live Bundle - PS4	It's About to Get Real: FreeStyleGames have reinvented the legendary Guitar Hero franchise, with two innovative new gameplay modes and an all-new guitar controller. You Are The Rock Star: Playing music in front of a real crowd is like no other experience. With the new GH Live first-person view, YOU'LL take center stage like never before. Rock Real Crowds with Real Reactions: Feel the rush of performing in a real band, in front of real crowds who react in real time to your performance. Awesome Music, Epic Venues: In GH Live, you'll take the stage in a variety of venues. Experience it all from the intimacy of a small club or the main stage of a massive outdoor festival. The Guitar Controller: The guitar controller was redesigned for the best gameplay across all skill levels.	<ul><li>Release Date 2015-10-20</li><li>Developer FreeStyleGames</li><li>ESRB Rating T - Teen</li><li>Genre Music</li><li>Maximum Players 1 Player</li><li>Minimum Players Online No</li></ul>	Activision	Activision	129.99	CDN	5	http://gameshack.ca/media/catalog/product/cache/1/image/500x500/9df78eab33525d08d6e5fb8d27136e95/6/1/61r-z88ertl._sl1080_.jpg			PS4	
83806	Assassin'S Creed Syndicate Gold Edition - PS4	London, 1868. The Industrial Revolution unleashes an incredible age of invention, transforming the lives of millions with technology once thought impossible. Opportunities created during this period have people rushing to London to engage in this new world, a world no longer controlled by kings, emperors, politicians, or religion, but by a new common denominator: money. Not everyone is able to enjoy the benefits of this boom, however. Introducing Jacob Frye, who with the help of his twin sister Evie, will change the fate of millions in Assassin's Creed Syndicate. Rise to rally and lead the underworld to break the corrupt stranglehold on London in a visceral adventure filled with action, intrigue, and brutal combat.	<ul><li>Release Date 2015-10-23</li><li>Developer Ubisoft</li><li>ESRB Rating M - Mature</li><li>Genre Action</li><li>Maximum Players 1 Player</li><li>Minimum Players Online No</li></ul>	Ubisoft	Ubisoft	118.99	CDN	0	http://gameshack.ca/media/catalog/product/cache/1/image/500x500/9df78eab33525d08d6e5fb8d27136e95/8/1/81s5ko8hjgl._sl1500_.jpg			PS4	
83999	Need For Speed (2015) - PS4	Ready to own the streets? Get behind the wheel of iconic cars and floor it through Ventura Bay, a sprawling urban playground. Explore overlapping stories as you build your reputation -- and your dream car -- and become the ultimate racing icon. Retooled and refueled for a next-generation racing experience, Need for Speed brings back the popular racing franchise with complex customization, urban car culture, a nocturnal open world, and a new narrative. The game introduces five ways to play: Speed, Style, Build, Crew, and Outlaw. Combine all five to create that perfect Need for Speed moment; driving insanely fast, sliding through a corner in your customized ride alongside your friends, whilst being chased by the cops.	<ul><li>Release Date 2015-11-03</li><li>Developer Ghost</li><li>ESRB Rating T - Teen</li><li>Genre Racing</li><li>Maximum Players 1 Player</li><li>Minimum Players Online No</li></ul>	Electronic Arts	Electronic Arts	79.99	CDN	5	http://gameshack.ca/media/catalog/product/cache/1/image/500x500/9df78eab33525d08d6e5fb8d27136e95/7/1/71_fmxqukwl._sl1000_.jpg			PS4	
83956	Rainbow Six Siege - PS4	Tom Clancy's Rainbow Six Siege brings a new level of tension to the hardcore tactical shooter franchise. Inspired by the reality of counter terrorist operatives across the world, Rainbow 6 Siege invites players to master the art of destruction. Intense close quarters confrontations, high lethality, tactics, team play, and explosive action are at the center of the experience. For the first time in a Tom Clancy's Rainbow Six game, players will engage in sieges, a new style of assault where enemies have the means to transform their environments into modern strongholds while Rainbow Six teams lead the assault to breach the enemy's position. Rainbow Six Siege gives players unprecedented control over their ability to fortify their position -- by reinforcing walls and floors, using barbed wire, deployable shields and mines, and more -- or breach the enemies' using observation drones, sheet charges, rappelling, and more. The fast pace, lethality and uniqueness of each siege sets a new bar for intense firefights, strategic gameplay and competitive gaming. Tom Clancy's Rainbow Six Siege also features a technological breakthrough that redefines the way players interact with a game environment. Leveraging Ubisoft Montreal's proprietary Realblast engine, Rainbow Six Siege incorporates procedural destruction that is realistic and unscripted, meaning the environment reacts authentically, distinctively and dynamically, based on variables like the caliber of bullets or the amount of explosives used. This advance allows players to leverage destruction in meaningful ways. Walls can be shattered, opening new lines of fire. Ceilings and floors can be breached to create new access points. This ability to modify the level design in real time enables players to create new gameplay opportunities directly within the game level.	<ul><li>Release Date 2015-12-01</li><li>Developer Ubisoft</li><li>ESRB Rating M - Mature</li><li>Genre First Person Shooter</li><li>Maximum Players 1 Player</li><li>Minimum Players Online No</li></ul>	Ubisoft	Ubisoft	78.99	CDN	5	http://gameshack.ca/media/catalog/product/cache/1/image/500x500/9df78eab33525d08d6e5fb8d27136e95/8/1/812xaho4zel._sl1500_.jpg			PS4	
82736	Fallout 4 - PS4	As the sole survivor of Vault 111, you enter a world destroyed by nuclear war. Every second is a fight for survival, and every choice is yours. Only you can rebuild and determine the fate of the Wasteland. Welcome home.	<ul><li>Release Date 2015-11-10</li><li>Developer Bethesda</li><li>ESRB Rating M - Mature</li><li>Genre Role Playing</li><li>Maximum Players 1 Player</li><li>Minimum Players Online No</li></ul>	Bethesda	Bethesda	78.99	CDN	5	http://gameshack.ca/media/catalog/product/cache/1/image/500x500/9df78eab33525d08d6e5fb8d27136e95/8/1/81tgcdckujl._sl1500_.jpg			PS4	
84003	Call Of Duty Black Ops 3 - PS4	Welcome to Call of Duty: Black Ops III, a dark, twisted future where a new breed of Black Ops soldier emerges and the lines are blurred between our own humanity and the technology we created to stay ahead, in a world where cutting-edge military robotics define warfare. Call of Duty: Black Ops 3 combines three unique game modes: Campaign, Multiplayer and Zombies, providing fans with the deepest and most ambitious Call of Duty ever. The Campaign has been designed as a co-op game that can be played with up to 4 players online or as a solo cinematic thrill-ride. Multiplayer will be the franchise's deepest, most rewarding and most engaging to date, with new ways to rank up, customize, and gear up for battle. And Zombies delivers an all-new mind-blowing experience with its own dedicated narrative. Call of Duty: Black Ops 3 can be played entirely online, and for the first time each of the offerings has its own unique player XP and progression systems. The title ushers in an unprecedented level of innovation, including jaw-dropping environments, never before experienced weaponry and abilities, and the introduction of a new, improved fluid movement system. All of this is brought to life by advanced technology custom crafted for this title, including new AI and animation systems, and graphics that redefine the standards Call of Duty fans have come to expect from the critically-acclaimed series, with cutting edge lighting systems and visual effects.	<ul><li>Release Date 2015-11-06</li><li>Developer Treyarch</li><li>ESRB Rating M - Mature</li><li>Genre First Person Shooter</li><li>Maximum Players 1 Player</li><li>Minimum Players Online No</li></ul>	Activision	Activision	78.99	CDN	5	http://gameshack.ca/media/catalog/product/cache/1/image/500x500/9df78eab33525d08d6e5fb8d27136e95/8/1/817sx8q12vl._sl1500_.jpg			PS4	
83808	Wwe 2K16 - PS4	Step into the ring for the 2016 edition of WWE wrestling action! WWE 2K16 delivers authentic, high-powered and hard-hitting action, including fan-favorite features and new WWE Superstars, Divas and Legends, gameplay innovations, presentation updates and more. Offering more than 120 unique playable characters, including cover Superstar Stone Cold Steve Austin alongside Seth Rollins, Daniel Bryan, Dean Ambrose, Bad News Barrett, Paige and Finn BÃ¡lor, WWE 2K16 includes the largest roster in WWE games history!	<ul><li>Release Date 2015-10-27</li><li>Developer 2k</li><li>ESRB Rating T - Teen</li><li>Genre Sports</li><li>Maximum Players 1 Player</li><li>Minimum Players Online No</li></ul>	2k	2k	78.99	CDN	5	http://gameshack.ca/media/catalog/product/cache/1/image/500x500/9df78eab33525d08d6e5fb8d27136e95/9/1/91z9z693lzl._sl1500_.jpg			PS4	
83804	Assassin'S Creed Syndicate - PS4	London, 1868. The Industrial Revolution unleashes an incredible age of invention, transforming the lives of millions with technology once thought impossible. Opportunities created during this period have people rushing to London to engage in this new world, a world no longer controlled by kings, emperors, politicians, or religion, but by a new common denominator: money. Not everyone is able to enjoy the benefits of this boom, however. Introducing Jacob Frye, who with the help of his twin sister Evie, will change the fate of millions in Assassin's Creed Syndicate. Rise to rally and lead the underworld to break the corrupt stranglehold on London in a visceral adventure filled with action, intrigue, and brutal combat.	<ul><li>Release Date 2015-10-23</li><li>Developer Ubisoft</li><li>ESRB Rating M - Mature</li><li>Genre Action</li><li>Maximum Players 1 Player</li><li>Minimum Players Online No</li></ul>	Ubisoft	Ubisoft	78.99	CDN	5	http://gameshack.ca/media/catalog/product/cache/1/image/500x500/9df78eab33525d08d6e5fb8d27136e95/9/1/91ito6dp-5l._sl1500_.jpg			PS4	
83794	Tales Of Zestiria - PS4	A brand new adventure awaits in a fantasy world filled with magic, knights, dragons and mystery in Tales of Zestiria. Two nations fight for supremacy and the fate of the realm lies in the hands of Sorey, an inquisitive young adventurer who takes on the burden of becoming the Shepherd, the one the legends foretold would become the savior of all. Together with Lailah, the Lady of the Lake, who guards the Sacred Blade, and his best friend Mikleo, Sorey soon discovers a powerful force rising in the shadows.	<ul><li>Release Date 2015-10-20</li><li>Developer Bandai Namco Games</li><li>ESRB Rating T - Teen</li><li>Genre Role Playing</li><li>Maximum Players 1 Player</li><li>Minimum Players Online No</li></ul>	Bandai Namco Games	Bandai Namco Games	69.99	CDN	5	http://gameshack.ca/media/catalog/product/cache/1/image/500x500/9df78eab33525d08d6e5fb8d27136e95/9/1/91xxk-i48vl._sl1500_.jpg			PS4	
83028	Just Cause 3 - PS4	Explore the world's biggest action game once again in this third game of the Just Cause franchise.	<ul><li>Release Date 2015-12-01</li><li>Developer Avalanche Studios</li><li>ESRB Rating M - Mature</li><li>Genre Action</li><li>Maximum Players 1 Player</li><li>Minimum Players Online No</li></ul>	Square Enix	Square Enix	68.99	CDN	5	http://gameshack.ca/media/catalog/product/cache/1/image/500x500/9df78eab33525d08d6e5fb8d27136e95/9/1/91tu_dy21hl._sl1500_.jpg			PS4	
