Feed Processing Summary:
	Number of records processed		966
	Number of records successful		965

original-record-number	sku	error-code	error-type	error-message
0		90004	Warning	On line 141, character 430 contains the invalid value 0x9d, which has been removed. Causes may include unsupported symbols that display as extra spaces or as unexpected characters. To cease receiving this warning message, remove these invalid characters and resubmit your feed.
0		90004	Warning	On line 142, character 443 contains the invalid value 0x9d, which has been removed. Causes may include unsupported symbols that display as extra spaces or as unexpected characters. To cease receiving this warning message, remove these invalid characters and resubmit your feed.
0		90004	Warning	On line 143, character 440 contains the invalid value 0x9d, which has been removed. Causes may include unsupported symbols that display as extra spaces or as unexpected characters. To cease receiving this warning message, remove these invalid characters and resubmit your feed.
0		90004	Warning	On line 144, character 451 contains the invalid value 0x9d, which has been removed. Causes may include unsupported symbols that display as extra spaces or as unexpected characters. To cease receiving this warning message, remove these invalid characters and resubmit your feed.
0		90004	Warning	On line 145, character 630 contains the invalid value 0x9d, which has been removed. Causes may include unsupported symbols that display as extra spaces or as unexpected characters. To cease receiving this warning message, remove these invalid characters and resubmit your feed.
0		90004	Warning	On line 146, character 635 contains the invalid value 0x9d, which has been removed. Causes may include unsupported symbols that display as extra spaces or as unexpected characters. To cease receiving this warning message, remove these invalid characters and resubmit your feed.
0		90004	Warning	On line 147, character 629 contains the invalid value 0x9d, which has been removed. Causes may include unsupported symbols that display as extra spaces or as unexpected characters. To cease receiving this warning message, remove these invalid characters and resubmit your feed.
0		90004	Warning	On line 148, character 650 contains the invalid value 0x9d, which has been removed. Causes may include unsupported symbols that display as extra spaces or as unexpected characters. To cease receiving this warning message, remove these invalid characters and resubmit your feed.
0		90005	Error	There are too many unmappable bytes in the file. Further listings containing invalid characters will be ignored and will not have error messages.
100	JETBVC311-1980:baggctomato	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
101	JETBVC311-CHARCOAL	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
102	JETBVC311-Pewter	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
169	JETWBL151C-912:baggcblackprnt	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
170	JETWBL151C-912:baggcblack	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
171	JETWBL151C-912:baggcladybug	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
172	JETWBL151C-912:baggcnavy	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
173	JETWBL151C-912:baggcolive	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
174	JETWBL151C-912:baggcraspberry	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
175	JETWBL151C-912:baggctomato	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
258	JETU119SP-Blackprnt	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
259	JETU119SP-Black	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
260	JETU119SP-Olive	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
261	JET370-4 Black	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
281	JET115X-blackprnt	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
282	JET115X-black	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
283	JET115X-olive	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
341	JETU374-Blackprnt	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
342	JETU374-Black	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
343	JETU374-Olive	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
350	JETUWD129-Blackprnt	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
351	JETUWD129-Black	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
352	JETUWD129-Olive	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
422	JETWI4	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
428	JET737	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
429	JET827	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
43	JET6102-491:ameribaggrasshopperprnt	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
431	JETCT13	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
436	JETSP2	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
438	JETSP1	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
439	JETSP3	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
44	JET6102-491:ameribagblack	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
440	JETACP3-UL1	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
444	JETTSU0-XS-GREENprnt	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
445	JETTSU0-XS-BLUE	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
446	JETTSU0-XS-GREEN	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
448	JET721bp	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
449	JET7620	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
45	JET6102-491:ameribaggrasshopper	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
451	JET8309	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
453	JET9770	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
454	JET0178	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
46	JET6102-491:ameribagred	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
462	JET8415	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
47	JET6102-491:ameribagtaupe	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
477	JET40277-1998:delseyredprnt	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
478	JET40277-1998:delseygraphite	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
479	JET40277-1998:delseyred	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
48	JET6102-Brown	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
480	JET40279-1999:delseygraphiteprnt	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
481	JET40279-1999:delseygraphite	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
482	JET40279-1999:delseyred	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
77	JETAH11AA01	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
78	JET1039104	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
79	JET1039103f	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
81	JETAH82LK91	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
94	JETBVC311-1980:baggcmushroomprnt	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
95	JETBVC311-1980:baggblack	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
96	JETBVC311-1980:baggcespresso	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
97	JETBVC311-1980:baggckhaki	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
98	JETBVC311-1980:baggcmushroom	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
99	JETBVC311-1980:baggcolive	99041	Warning	A value was not provided for "bullet-point1". Please provide a value for "bullet-point1". This information appears on the product detail page and helps customers evaluate products.
