sku	Name	UPC	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Amazon Price	Currency	Inventory	size	color	parentsku	Parentage	Variation Theme	Relationship Type	Bulletpoints1	Bulletpoints2	Bulletpoints3	Bulletpoints4	Bulletpoints5	weight	Image URL1
JET20000-BLUE-SMALLprnt	Men's Swingshift Underwear With Joey Pouchô	6.67563E+11			2UNDR	2UNDR								parent	sizecolor								
JET20000-BLUE-LARGE	Men's Swingshift Underwear With Joey Pouchô_Large_Blue	6.67563E+11	These are the most comfortable boxers we've found for long flights or a round of golf. The mid-length boxer brief has been re-imagined with special consideration for your precious valuables (family jewels!) with the Joey Pouchô! The specially designed section in the front of the boxer is a soft place to stow away equipment in comfort and provides a perfect fit while eliminating skin contact and over heating. The athletic undergarment features an ultralight modal/spandex fabric blend with a super plush thick waist band and a No-Drip-Tipô moisture control layer that wicks away unwanted wetness . Designed for every day use  from work to the gym  while traveling  hiking  riding your bike - whatever - these boxers will keep you comfortable  ventilated  and stylish while preventing unwanted skin contact  all thanks to the exceptional Joey Pouchô technology!		2UNDR	2UNDR	24.99	77.673375	CDN	90	Large	Blue	JET20000-BLUE-SMALLprnt	child	sizecolor	variation	"The Joey Pouchô -¬†is a soft and comfortable environment for your most¬†valuable assets. Constructed with premium fabrics, the pouch delivers the¬†perfect fit while preventing unwanted skin contactKeep It Fly -¬†is an essential element of all 2|UNDRô garments. No need to¬†drop your pants in the men""ôs. The fly allows for increased air flow to your¬†nether regions and provides in-your-pants air conditioning."	"The Stitching - provides the highest quality finish with a seamless look and¬†feel. Flatlocked stitching and construction seams are intelligently¬†designed to avoid potential rub zones.The No-Drip-Tipô - moisture control layer is designed to wick away¬†unwanted wetness for a faster drying garment that provides a soft, cool,¬†and dry feeling each and every time"	"The Fabric - SWINGSHIFT garments use an unique blend of Modal | Spandex for the best fit and feel. Modal is a type of Rayon that is smooth, soft and breathes extremely well. Formulated to be cool to the touch, absorbent and similar in texture to silk or cotton yet unlike cotton, it is resistant to shrinkage and less likely to fade or pill from friction."	The Band - 2|UNDRô uses the highest quality yarn in a roll-resistant waistbands that is undeniably soft and reinforced to guarantee flexibility and feel.		0	https://cdn.shopify.com/s/files/1/0918/3750/products/blue_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_main2_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_main_1__1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_band_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_joey_pouch_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_fabric_detail_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/ss-red_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_band_1.jpeg?v=1440033921
JET20000-BLUE-MEDIUM	Men's Swingshift Underwear With Joey Pouchô_Medium_Blue	6.67563E+11	These are the most comfortable boxers we've found for long flights or a round of golf. The mid-length boxer brief has been re-imagined with special consideration for your precious valuables (family jewels!) with the Joey Pouchô! The specially designed section in the front of the boxer is a soft place to stow away equipment in comfort and provides a perfect fit while eliminating skin contact and over heating. The athletic undergarment features an ultralight modal/spandex fabric blend with a super plush thick waist band and a No-Drip-Tipô moisture control layer that wicks away unwanted wetness . Designed for every day use  from work to the gym  while traveling  hiking  riding your bike - whatever - these boxers will keep you comfortable  ventilated  and stylish while preventing unwanted skin contact  all thanks to the exceptional Joey Pouchô technology!		2UNDR	2UNDR	24.99	77.673375	CDN	86	Medium	Blue	JET20000-BLUE-SMALLprnt	child	sizecolor	variation	"The Joey Pouchô -¬†is a soft and comfortable environment for your most¬†valuable assets. Constructed with premium fabrics, the pouch delivers the¬†perfect fit while preventing unwanted skin contactKeep It Fly -¬†is an essential element of all 2|UNDRô garments. No need to¬†drop your pants in the men""ôs. The fly allows for increased air flow to your¬†nether regions and provides in-your-pants air conditioning."	"The Stitching - provides the highest quality finish with a seamless look and¬†feel. Flatlocked stitching and construction seams are intelligently¬†designed to avoid potential rub zones.The No-Drip-Tipô - moisture control layer is designed to wick away¬†unwanted wetness for a faster drying garment that provides a soft, cool,¬†and dry feeling each and every time"	"The Fabric - SWINGSHIFT garments use an unique blend of Modal | Spandex for the best fit and feel. Modal is a type of Rayon that is smooth, soft and breathes extremely well. Formulated to be cool to the touch, absorbent and similar in texture to silk or cotton yet unlike cotton, it is resistant to shrinkage and less likely to fade or pill from friction."	The Band - 2|UNDRô uses the highest quality yarn in a roll-resistant waistbands that is undeniably soft and reinforced to guarantee flexibility and feel.		0	https://cdn.shopify.com/s/files/1/0918/3750/products/blue_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_main2_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_main_1__1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_band_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_joey_pouch_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_fabric_detail_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/ss-red_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_band_1.jpeg?v=1440033921
JET20000-BLUE-SMALL	Men's Swingshift Underwear With Joey Pouchô_Small_Blue	6.67563E+11	These are the most comfortable boxers we've found for long flights or a round of golf. The mid-length boxer brief has been re-imagined with special consideration for your precious valuables (family jewels!) with the Joey Pouchô! The specially designed section in the front of the boxer is a soft place to stow away equipment in comfort and provides a perfect fit while eliminating skin contact and over heating. The athletic undergarment features an ultralight modal/spandex fabric blend with a super plush thick waist band and a No-Drip-Tipô moisture control layer that wicks away unwanted wetness . Designed for every day use  from work to the gym  while traveling  hiking  riding your bike - whatever - these boxers will keep you comfortable  ventilated  and stylish while preventing unwanted skin contact  all thanks to the exceptional Joey Pouchô technology!		2UNDR	2UNDR	24.99	77.673375	CDN	96	Small	Blue	JET20000-BLUE-SMALLprnt	child	sizecolor	variation	"The Joey Pouchô -¬†is a soft and comfortable environment for your most¬†valuable assets. Constructed with premium fabrics, the pouch delivers the¬†perfect fit while preventing unwanted skin contactKeep It Fly -¬†is an essential element of all 2|UNDRô garments. No need to¬†drop your pants in the men""ôs. The fly allows for increased air flow to your¬†nether regions and provides in-your-pants air conditioning."	"The Stitching - provides the highest quality finish with a seamless look and¬†feel. Flatlocked stitching and construction seams are intelligently¬†designed to avoid potential rub zones.The No-Drip-Tipô - moisture control layer is designed to wick away¬†unwanted wetness for a faster drying garment that provides a soft, cool,¬†and dry feeling each and every time"	"The Fabric - SWINGSHIFT garments use an unique blend of Modal | Spandex for the best fit and feel. Modal is a type of Rayon that is smooth, soft and breathes extremely well. Formulated to be cool to the touch, absorbent and similar in texture to silk or cotton yet unlike cotton, it is resistant to shrinkage and less likely to fade or pill from friction."	The Band - 2|UNDRô uses the highest quality yarn in a roll-resistant waistbands that is undeniably soft and reinforced to guarantee flexibility and feel.		0	https://cdn.shopify.com/s/files/1/0918/3750/products/blue_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_main2_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_main_1__1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_band_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_joey_pouch_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_fabric_detail_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/ss-red_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_band_1.jpeg?v=1440033921
JET20000-BLUE-XLARGE	Men's Swingshift Underwear With Joey Pouchô_X-Large_Blue	6.67563E+11	These are the most comfortable boxers we've found for long flights or a round of golf. The mid-length boxer brief has been re-imagined with special consideration for your precious valuables (family jewels!) with the Joey Pouchô! The specially designed section in the front of the boxer is a soft place to stow away equipment in comfort and provides a perfect fit while eliminating skin contact and over heating. The athletic undergarment features an ultralight modal/spandex fabric blend with a super plush thick waist band and a No-Drip-Tipô moisture control layer that wicks away unwanted wetness . Designed for every day use  from work to the gym  while traveling  hiking  riding your bike - whatever - these boxers will keep you comfortable  ventilated  and stylish while preventing unwanted skin contact  all thanks to the exceptional Joey Pouchô technology!		2UNDR	2UNDR	24.99	77.673375	CDN	91	X-Large	Blue	JET20000-BLUE-SMALLprnt	child	sizecolor	variation	"The Joey Pouchô -¬†is a soft and comfortable environment for your most¬†valuable assets. Constructed with premium fabrics, the pouch delivers the¬†perfect fit while preventing unwanted skin contactKeep It Fly -¬†is an essential element of all 2|UNDRô garments. No need to¬†drop your pants in the men""ôs. The fly allows for increased air flow to your¬†nether regions and provides in-your-pants air conditioning."	"The Stitching - provides the highest quality finish with a seamless look and¬†feel. Flatlocked stitching and construction seams are intelligently¬†designed to avoid potential rub zones.The No-Drip-Tipô - moisture control layer is designed to wick away¬†unwanted wetness for a faster drying garment that provides a soft, cool,¬†and dry feeling each and every time"	"The Fabric - SWINGSHIFT garments use an unique blend of Modal | Spandex for the best fit and feel. Modal is a type of Rayon that is smooth, soft and breathes extremely well. Formulated to be cool to the touch, absorbent and similar in texture to silk or cotton yet unlike cotton, it is resistant to shrinkage and less likely to fade or pill from friction."	The Band - 2|UNDRô uses the highest quality yarn in a roll-resistant waistbands that is undeniably soft and reinforced to guarantee flexibility and feel.		0	https://cdn.shopify.com/s/files/1/0918/3750/products/blue_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_main2_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_main_1__1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_band_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_joey_pouch_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_fabric_detail_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/ss-red_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_band_1.jpeg?v=1440033921
JET20000-CHARCOAL-LARGE	Men's Swingshift Underwear With Joey Pouchô_Large_Charcoal	6.67563E+11	These are the most comfortable boxers we've found for long flights or a round of golf. The mid-length boxer brief has been re-imagined with special consideration for your precious valuables (family jewels!) with the Joey Pouchô! The specially designed section in the front of the boxer is a soft place to stow away equipment in comfort and provides a perfect fit while eliminating skin contact and over heating. The athletic undergarment features an ultralight modal/spandex fabric blend with a super plush thick waist band and a No-Drip-Tipô moisture control layer that wicks away unwanted wetness . Designed for every day use  from work to the gym  while traveling  hiking  riding your bike - whatever - these boxers will keep you comfortable  ventilated  and stylish while preventing unwanted skin contact  all thanks to the exceptional Joey Pouchô technology!		2UNDR	2UNDR	24.99	77.673375	CDN	92	Large	Charcoal	JET20000-BLUE-SMALLprnt	child	sizecolor	variation	"The Joey Pouchô -¬†is a soft and comfortable environment for your most¬†valuable assets. Constructed with premium fabrics, the pouch delivers the¬†perfect fit while preventing unwanted skin contactKeep It Fly -¬†is an essential element of all 2|UNDRô garments. No need to¬†drop your pants in the men""ôs. The fly allows for increased air flow to your¬†nether regions and provides in-your-pants air conditioning."	"The Stitching - provides the highest quality finish with a seamless look and¬†feel. Flatlocked stitching and construction seams are intelligently¬†designed to avoid potential rub zones.The No-Drip-Tipô - moisture control layer is designed to wick away¬†unwanted wetness for a faster drying garment that provides a soft, cool,¬†and dry feeling each and every time"	"The Fabric - SWINGSHIFT garments use an unique blend of Modal | Spandex for the best fit and feel. Modal is a type of Rayon that is smooth, soft and breathes extremely well. Formulated to be cool to the touch, absorbent and similar in texture to silk or cotton yet unlike cotton, it is resistant to shrinkage and less likely to fade or pill from friction."	The Band - 2|UNDRô uses the highest quality yarn in a roll-resistant waistbands that is undeniably soft and reinforced to guarantee flexibility and feel.		0	https://cdn.shopify.com/s/files/1/0918/3750/products/blue_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_main2_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_main_1__1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_band_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_joey_pouch_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_fabric_detail_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/ss-red_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_band_1.jpeg?v=1440033921
JET20000-CHARCOAL-MEDIUM	Men's Swingshift Underwear With Joey Pouchô_Medium_Charcoal	6.67563E+11	These are the most comfortable boxers we've found for long flights or a round of golf. The mid-length boxer brief has been re-imagined with special consideration for your precious valuables (family jewels!) with the Joey Pouchô! The specially designed section in the front of the boxer is a soft place to stow away equipment in comfort and provides a perfect fit while eliminating skin contact and over heating. The athletic undergarment features an ultralight modal/spandex fabric blend with a super plush thick waist band and a No-Drip-Tipô moisture control layer that wicks away unwanted wetness . Designed for every day use  from work to the gym  while traveling  hiking  riding your bike - whatever - these boxers will keep you comfortable  ventilated  and stylish while preventing unwanted skin contact  all thanks to the exceptional Joey Pouchô technology!		2UNDR	2UNDR	24.99	77.673375	CDN	93	Medium	Charcoal	JET20000-BLUE-SMALLprnt	child	sizecolor	variation	"The Joey Pouchô -¬†is a soft and comfortable environment for your most¬†valuable assets. Constructed with premium fabrics, the pouch delivers the¬†perfect fit while preventing unwanted skin contactKeep It Fly -¬†is an essential element of all 2|UNDRô garments. No need to¬†drop your pants in the men""ôs. The fly allows for increased air flow to your¬†nether regions and provides in-your-pants air conditioning."	"The Stitching - provides the highest quality finish with a seamless look and¬†feel. Flatlocked stitching and construction seams are intelligently¬†designed to avoid potential rub zones.The No-Drip-Tipô - moisture control layer is designed to wick away¬†unwanted wetness for a faster drying garment that provides a soft, cool,¬†and dry feeling each and every time"	"The Fabric - SWINGSHIFT garments use an unique blend of Modal | Spandex for the best fit and feel. Modal is a type of Rayon that is smooth, soft and breathes extremely well. Formulated to be cool to the touch, absorbent and similar in texture to silk or cotton yet unlike cotton, it is resistant to shrinkage and less likely to fade or pill from friction."	The Band - 2|UNDRô uses the highest quality yarn in a roll-resistant waistbands that is undeniably soft and reinforced to guarantee flexibility and feel.		0	https://cdn.shopify.com/s/files/1/0918/3750/products/blue_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_main2_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_main_1__1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_band_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_joey_pouch_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_fabric_detail_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/ss-red_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_band_1.jpeg?v=1440033921
JET20000-CHARCOAL-SMALL	Men's Swingshift Underwear With Joey Pouchô_Small_Charcoal	6.67563E+11	These are the most comfortable boxers we've found for long flights or a round of golf. The mid-length boxer brief has been re-imagined with special consideration for your precious valuables (family jewels!) with the Joey Pouchô! The specially designed section in the front of the boxer is a soft place to stow away equipment in comfort and provides a perfect fit while eliminating skin contact and over heating. The athletic undergarment features an ultralight modal/spandex fabric blend with a super plush thick waist band and a No-Drip-Tipô moisture control layer that wicks away unwanted wetness . Designed for every day use  from work to the gym  while traveling  hiking  riding your bike - whatever - these boxers will keep you comfortable  ventilated  and stylish while preventing unwanted skin contact  all thanks to the exceptional Joey Pouchô technology!		2UNDR	2UNDR	24.99	77.673375	CDN	97	Small	Charcoal	JET20000-BLUE-SMALLprnt	child	sizecolor	variation	"The Joey Pouchô -¬†is a soft and comfortable environment for your most¬†valuable assets. Constructed with premium fabrics, the pouch delivers the¬†perfect fit while preventing unwanted skin contactKeep It Fly -¬†is an essential element of all 2|UNDRô garments. No need to¬†drop your pants in the men""ôs. The fly allows for increased air flow to your¬†nether regions and provides in-your-pants air conditioning."	"The Stitching - provides the highest quality finish with a seamless look and¬†feel. Flatlocked stitching and construction seams are intelligently¬†designed to avoid potential rub zones.The No-Drip-Tipô - moisture control layer is designed to wick away¬†unwanted wetness for a faster drying garment that provides a soft, cool,¬†and dry feeling each and every time"	"The Fabric - SWINGSHIFT garments use an unique blend of Modal | Spandex for the best fit and feel. Modal is a type of Rayon that is smooth, soft and breathes extremely well. Formulated to be cool to the touch, absorbent and similar in texture to silk or cotton yet unlike cotton, it is resistant to shrinkage and less likely to fade or pill from friction."	The Band - 2|UNDRô uses the highest quality yarn in a roll-resistant waistbands that is undeniably soft and reinforced to guarantee flexibility and feel.		0	https://cdn.shopify.com/s/files/1/0918/3750/products/blue_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_main2_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_main_1__1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_band_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_joey_pouch_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_fabric_detail_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/ss-red_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_band_1.jpeg?v=1440033921
JET20000-CHARCOAL-XLARGE	Men's Swingshift Underwear With Joey Pouchô_X-Large_Charcoal	6.67563E+11	These are the most comfortable boxers we've found for long flights or a round of golf. The mid-length boxer brief has been re-imagined with special consideration for your precious valuables (family jewels!) with the Joey Pouchô! The specially designed section in the front of the boxer is a soft place to stow away equipment in comfort and provides a perfect fit while eliminating skin contact and over heating. The athletic undergarment features an ultralight modal/spandex fabric blend with a super plush thick waist band and a No-Drip-Tipô moisture control layer that wicks away unwanted wetness . Designed for every day use  from work to the gym  while traveling  hiking  riding your bike - whatever - these boxers will keep you comfortable  ventilated  and stylish while preventing unwanted skin contact  all thanks to the exceptional Joey Pouchô technology!		2UNDR	2UNDR	24.99	77.673375	CDN	95	X-Large	Charcoal	JET20000-BLUE-SMALLprnt	child	sizecolor	variation	"The Joey Pouchô -¬†is a soft and comfortable environment for your most¬†valuable assets. Constructed with premium fabrics, the pouch delivers the¬†perfect fit while preventing unwanted skin contactKeep It Fly -¬†is an essential element of all 2|UNDRô garments. No need to¬†drop your pants in the men""ôs. The fly allows for increased air flow to your¬†nether regions and provides in-your-pants air conditioning."	"The Stitching - provides the highest quality finish with a seamless look and¬†feel. Flatlocked stitching and construction seams are intelligently¬†designed to avoid potential rub zones.The No-Drip-Tipô - moisture control layer is designed to wick away¬†unwanted wetness for a faster drying garment that provides a soft, cool,¬†and dry feeling each and every time"	"The Fabric - SWINGSHIFT garments use an unique blend of Modal | Spandex for the best fit and feel. Modal is a type of Rayon that is smooth, soft and breathes extremely well. Formulated to be cool to the touch, absorbent and similar in texture to silk or cotton yet unlike cotton, it is resistant to shrinkage and less likely to fade or pill from friction."	The Band - 2|UNDRô uses the highest quality yarn in a roll-resistant waistbands that is undeniably soft and reinforced to guarantee flexibility and feel.		0	https://cdn.shopify.com/s/files/1/0918/3750/products/blue_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_main2_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_main_1__1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_band_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_joey_pouch_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_fabric_detail_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/ss-red_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_band_1.jpeg?v=1440033921
JET20000-GREEN-LARGE	Men's Swingshift Underwear With Joey Pouchô_Large_Green	6.67563E+11	These are the most comfortable boxers we've found for long flights or a round of golf. The mid-length boxer brief has been re-imagined with special consideration for your precious valuables (family jewels!) with the Joey Pouchô! The specially designed section in the front of the boxer is a soft place to stow away equipment in comfort and provides a perfect fit while eliminating skin contact and over heating. The athletic undergarment features an ultralight modal/spandex fabric blend with a super plush thick waist band and a No-Drip-Tipô moisture control layer that wicks away unwanted wetness . Designed for every day use  from work to the gym  while traveling  hiking  riding your bike - whatever - these boxers will keep you comfortable  ventilated  and stylish while preventing unwanted skin contact  all thanks to the exceptional Joey Pouchô technology!		2UNDR	2UNDR	24.99	77.673375	CDN	96	Large	Green	JET20000-BLUE-SMALLprnt	child	sizecolor	variation	"The Joey Pouchô -¬†is a soft and comfortable environment for your most¬†valuable assets. Constructed with premium fabrics, the pouch delivers the¬†perfect fit while preventing unwanted skin contactKeep It Fly -¬†is an essential element of all 2|UNDRô garments. No need to¬†drop your pants in the men""ôs. The fly allows for increased air flow to your¬†nether regions and provides in-your-pants air conditioning."	"The Stitching - provides the highest quality finish with a seamless look and¬†feel. Flatlocked stitching and construction seams are intelligently¬†designed to avoid potential rub zones.The No-Drip-Tipô - moisture control layer is designed to wick away¬†unwanted wetness for a faster drying garment that provides a soft, cool,¬†and dry feeling each and every time"	"The Fabric - SWINGSHIFT garments use an unique blend of Modal | Spandex for the best fit and feel. Modal is a type of Rayon that is smooth, soft and breathes extremely well. Formulated to be cool to the touch, absorbent and similar in texture to silk or cotton yet unlike cotton, it is resistant to shrinkage and less likely to fade or pill from friction."	The Band - 2|UNDRô uses the highest quality yarn in a roll-resistant waistbands that is undeniably soft and reinforced to guarantee flexibility and feel.		0	https://cdn.shopify.com/s/files/1/0918/3750/products/blue_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_main2_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/charcoal_main_1__1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_band_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/blue_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_main_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_joey_pouch_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_fabric_detail_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/red_back_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/ss-red_1.jpeg?v=1440033921@https://cdn.shopify.com/s/files/1/0918/3750/products/green_band_1.jpeg?v=1440033921
